,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Merge Frequency,Comments Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_total_comments
79,apache/incubator-retired-concerted,2,10/14/15,4/25/16,3,0,10/25/15 12:46,0,4,41,9,5,132,3,330.3333333,456.6666667,21.33333333,1.333333333,1.0,0.0,0.0,0.0,0.0,0.0
80,apache/incubator-retired-edgent,2,2/29/16,11/20/19,346,324,3/10/16 19:58,8,560,1398,203,140,25183,18,334.4855491,233.7687861,13.8265896,4.043352601,1.583815029,197.9506173,106.632716,10.32716049,2.083333333,1.475308642
81,apache/incubator-retired-gearpump,2,3/8/16,9/19/18,243,3,4/15/16 10:22,8,1142,2251,300,95,22289,26,359.3636364,155.4297521,16.22727273,2.561983471,4.433884298,93.66666667,9.0,2.666666667,1.0,9.333333333
82,apache/incubator-retired-gossip,2,4/28/16,8/21/18,68,48,5/29/16 5:05,2,236,194,234,111,1420,11,871.1029412,87.42647059,11.82352941,1.573529412,3.382352941,277.75,79.4375,11.4375,1.145833333,1.458333333
83,apache/incubator-retired-horn,2,9/4/15,7/13/17,31,23,9/24/15 23:13,1,15,40,28,16,241,3,478.516129,126.5806452,9.580645161,1.483870968,0.483870968,556.0,138.4782609,10.30434783,1.086956522,0.260869565
84,apache/incubator-retired-htrace,2,11/11/14,4/11/18,8,2,9/9/15 0:30,0,21,605,101,65,2769,17,300.875,21.75,3.75,2.125,0.25,840.0,1.5,7.5,4.5,0.0
85,apache/incubator-retired-iota,2,1/20/16,2/15/18,33,27,5/11/16 1:58,1,60,190,31,31,3449,7,239.3030303,55.27272727,7.212121212,4.424242424,1.515151515,270.5555556,47.96296296,7.518518519,4.888888889,2.740740741
86,apache/incubator-retired-mrql,2,3/13/13,8/17/17,33,31,4/21/15 17:55,1,9,169,16,15,1282,5,221.5151515,45.15151515,7.333333333,1.060606061,0.242424242,180.7741935,44.35483871,6.741935484,1.064516129,0.322580645
87,apache/incubator-myriad,2,3/1/15,1/24/20,131,29,9/27/15 3:58,2,572,439,153,73,10766,29,1007.862595,682.0534351,17.09160305,2.694656489,3.625954198,577.4137931,123.2413793,6.827586207,1.275862069,1.724137931
88,apache/incubator-retired-openaz,2,1/20/15,8/26/16,4,0,12/3/15 9:07,0,27,66,15,24,15887,4,15173.33333,388.6666667,263.6666667,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0
89,apache/incubator-retired-pirk,2,6/17/16,4/17/17,116,2,7/14/16 4:50,11,490,183,57,24,439565,8,883.4827586,780.1034483,15.77586207,4.948275862,4.120689655,91.5,3.0,2.0,2.0,4.0
90,apache/incubator-retired-quickstep,2,3/29/16,12/1/18,358,302,4/18/16 5:03,11,1871,970,85,57,12007,21,470.3910615,1623.307263,21.32681564,1.396648045,5.187150838,393.4801325,1342.572848,18.76821192,1.11589404,4.052980132
91,apache/incubator-retired-ripple,2,10/16/12,12/6/15,72,34,5/14/13 23:30,2,193,1144,170,60,9435,36,34.93055556,12.61111111,2.583333333,1.736111111,2.638888889,38.02941176,5.911764706,2.323529412,1.088235294,3.411764706
92,apache/incubator-s2graph,2,11/29/15,11/29/20,183,86,1/12/16 7:22,3,327,1681,260,65,14439,15,475.6010929,231.5464481,15.73224044,5.551912568,1.715846995,406.7674419,177.1860465,12.37209302,4.0,1.302325581
93,apache/incubator-retired-s4,2,9/26/11,6/19/14,2,0,3/13/12 17:27,0,0,237,39,18,26686,5,214.0,191.5,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
94,apache/incubator-samoa,2,12/15/14,3/11/21,71,19,1/27/15 12:42,1,385,118,238,108,6135,18,4351.28169,642.3943662,44.76056338,3.056338028,4.422535211,14306.89474,1910.526316,111.6842105,2.210526316,6.842105263
95,apache/Sirona,2,10/15/13,7/3/17,2,0,11/1/13 14:46,0,2,893,107,55,6825,9,620.0,164.5,45.5,5.5,1.0,0.0,0.0,0.0,0.0,0.0
96,apache/incubator-retired-slider,2,4/29/14,5/24/18,2,0,11/10/14 21:28,0,1,1974,78,75,16472,8,312.0,2.0,9.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0
97,apache/incubator-retired-tamaya,2,11/14/14,4/30/20,53,40,12/6/14 12:24,1,84,1575,43,34,7630,10,171.1886792,113.490566,11.81132075,1.452830189,1.58490566,99.35,133.275,12.225,1.5,1.7
98,apache/incubator-retired-wave,2,12/4/10,1/15/18,25,13,1/12/14 18:10,0,160,406,185,79,200606,12,4057.458333,6334.625,441.2083333,12.45833333,5.958333333,810.3846154,6038.384615,268.7692308,3.923076923,8.307692308
99,apache/incubator-weex,2,11/30/16,5/12/21,2382,1712,1/31/17 4:35,44,5429,12026,14002,1857,282740,196,1681.341053,1291.498526,21.43157895,11.50778947,1.316210526,611.4727592,467.8471002,9.663151728,3.804920914,1.94493263
