,Project Full Name,Project Status,Project Startdate,Project Enddate,First PR Created Time,PR Number,Merged PR Number,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
69,apache/TinkerPop,1,1/16/15,5/23/16,2/8/15 1:24,1475,1133,87,5761,1798,17709,1427,681,173609,143,385.7563291,162.2246835,26.38291139,4.547468354,3.870253165,352.5889831,111.7457627,17.46610169,4.127118644,3.423728814,3.423728814,6.847457627
70,apache/trafficcontrol,1,7/12/16,5/16/18,10/17/16 16:56,4133,3093,180,14082,14147,11685,671,282,107999,109,1400.079406,310.7779212,18.11878631,5.331181407,3.490639122,621.9508427,262.2837079,11.76264045,3.084269663,3.370786517,3.370786517,6.741573034
71,apache/Trafodion,1,5/24/15,12/20/17,6/20/15 3:00,1850,1654,60,12186,4481,7254,243,159,88977,69,969.1554404,709.3871207,21.31976314,2.965210955,9.25980755,909.2043551,471.2102178,22.01423786,2.639865997,6.486599665,6.486599665,12.97319933
72,apache/TVM,1,3/6/19,11/18/20,12/11/16 19:05,7309,6557,348,30250,32964,7006,7333,2257,51155,398,658.2704005,249.1496537,13.25323698,6.310147546,7.527250828,240.6874576,131.5759322,9.5,3.949491525,3.107118644,3.107118644,6.214237288
73,apache/Unomi,1,10/5/15,2/20/19,4/25/16 7:31,357,299,9,362,421,2388,178,91,14941,39,443.2162162,71.41891892,7.972972973,3.175675676,1.216216216,504.0952381,70.47619048,8.523809524,3.222222222,0.492063492,0.492063492,0.984126984
74,apache/Usergrid,1,10/3/13,8/19/15,11/25/13 17:57,599,465,26,396,280,10954,997,438,383452,78,2827.712251,2360.954416,39.60683761,24.45584046,1.202279202,1684.32567,2572.16092,22.38314176,9.77394636,0.61302682,0.61302682,1.22605364
75,apache/Zeppelin,1,12/23/14,5/18/16,3/25/15 9:03,4177,26,246,22005,7649,5011,5474,2560,98711,322,369.8955056,95.62022472,8.588764045,5.239325843,8.034831461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,apache/incubator-retired-amaterasu,2,9/7/17,9/18/19,10/30/17 6:10,58,47,2,24,62,811,56,25,4663,16,430.5789474,398.7368421,25.22807018,10.63157895,1.333333333,404.326087,380.1304348,24.47826087,11.26086957,0.217391304,0.217391304,0.434782609
77,apache/incubator-ariatosca,2,8/27/16,7/1/18,10/18/16 8:32,229,170,10,210,1468,190,28,46,1745,12,613.6331878,260.7554585,15.09606987,1.187772926,7.323144105,497.3117647,208.5,14.28823529,1.023529412,0.888235294,0.888235294,1.776470588
78,apache/incubator-retired-blur,2,7/24/12,6/22/17,6/22/14 11:02,5,0,0,6,4,5242,32,32,53376,15,197.2,34.4,2.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,apache/incubator-retired-concerted,2,10/14/15,4/25/16,10/25/15 12:46,3,0,0,4,0,41,9,5,132,3,330.3333333,456.6666667,21.33333333,1.333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,apache/incubator-retired-edgent,2,2/29/16,11/20/19,3/10/16 19:58,346,324,8,318,242,1398,203,140,25183,18,334.4855491,233.7687861,13.8265896,4.043352601,1.583815029,197.9506173,106.632716,10.32716049,2.083333333,0.737654321,0.737654321,1.475308642
81,apache/incubator-retired-gearpump,2,3/8/16,9/19/18,4/15/16 10:22,243,3,8,731,411,2251,300,95,22289,26,359.3636364,155.4297521,16.22727273,2.561983471,4.433884298,93.66666667,9.0,2.666666667,1.0,4.666666667,4.666666667,9.333333333
82,apache/incubator-retired-gossip,2,4/28/16,8/21/18,5/29/16 5:05,68,48,2,74,162,194,234,111,1420,11,871.1029412,87.42647059,11.82352941,1.573529412,3.382352941,277.75,79.4375,11.4375,1.145833333,0.729166667,0.729166667,1.458333333
83,apache/incubator-retired-horn,2,9/4/15,7/13/17,9/24/15 23:13,31,23,1,13,2,40,28,16,241,3,478.516129,126.5806452,9.580645161,1.483870968,0.483870968,556.0,138.4782609,10.30434783,1.086956522,0.130434783,0.130434783,0.260869565
84,apache/incubator-retired-htrace,2,11/11/14,4/11/18,9/9/15 0:30,8,2,0,11,10,605,101,65,2769,17,300.875,21.75,3.75,2.125,0.25,840.0,1.5,7.5,4.5,0.0,0.0,0.0
85,apache/incubator-retired-iota,2,1/20/16,2/15/18,5/11/16 1:58,33,27,1,57,3,190,31,31,3449,7,239.3030303,55.27272727,7.212121212,4.424242424,1.515151515,270.5555556,47.96296296,7.518518519,4.888888889,1.37037037,1.37037037,2.740740741
86,apache/incubator-retired-mrql,2,3/13/13,8/17/17,4/21/15 17:55,33,31,1,9,0,169,16,15,1282,5,221.5151515,45.15151515,7.333333333,1.060606061,0.242424242,180.7741935,44.35483871,6.741935484,1.064516129,0.161290323,0.161290323,0.322580645
87,apache/incubator-myriad,2,3/1/15,1/24/20,9/27/15 3:58,131,29,2,309,263,439,153,73,10766,29,1007.862595,682.0534351,17.09160305,2.694656489,3.625954198,577.4137931,123.2413793,6.827586207,1.275862069,0.862068966,0.862068966,1.724137931
88,apache/incubator-retired-openaz,2,1/20/15,8/26/16,12/3/15 9:07,4,0,0,12,15,66,15,24,15887,4,15173.33333,388.6666667,263.6666667,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,apache/incubator-retired-pirk,2,6/17/16,4/17/17,7/14/16 4:50,116,2,11,271,219,183,57,24,439565,8,883.4827586,780.1034483,15.77586207,4.948275862,4.120689655,91.5,3.0,2.0,2.0,2.0,2.0,4.0
90,apache/incubator-retired-quickstep,2,3/29/16,12/1/18,4/18/16 5:03,358,302,11,797,1074,970,85,57,12007,21,470.3910615,1623.307263,21.32681564,1.396648045,5.187150838,393.4801325,1342.572848,18.76821192,1.11589404,2.026490066,2.026490066,4.052980132
91,apache/incubator-retired-ripple,2,10/16/12,12/6/15,5/14/13 23:30,72,34,2,157,36,1144,170,60,9435,36,34.93055556,12.61111111,2.583333333,1.736111111,2.638888889,38.02941176,5.911764706,2.323529412,1.088235294,1.705882353,1.705882353,3.411764706
92,apache/incubator-s2graph,2,11/29/15,11/29/20,1/12/16 7:22,183,86,3,269,58,1681,260,65,14439,15,475.6010929,231.5464481,15.73224044,5.551912568,1.715846995,406.7674419,177.1860465,12.37209302,4.0,0.651162791,0.651162791,1.302325581
93,apache/incubator-retired-s4,2,9/26/11,6/19/14,3/13/12 17:27,2,0,0,0,0,237,39,18,26686,5,214.0,191.5,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,apache/incubator-samoa,2,12/15/14,3/11/21,1/27/15 12:42,71,19,1,268,117,118,238,108,6135,18,4351.28169,642.3943662,44.76056338,3.056338028,4.422535211,14306.89474,1910.526316,111.6842105,2.210526316,3.421052632,3.421052632,6.842105263
95,apache/Sirona,2,10/15/13,7/3/17,11/1/13 14:46,2,0,0,2,0,893,107,55,6825,9,620.0,164.5,45.5,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,apache/incubator-retired-slider,2,4/29/14,5/24/18,11/10/14 21:28,2,0,0,0,1,1974,78,75,16472,8,312.0,2.0,9.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,apache/incubator-retired-tamaya,2,11/14/14,4/30/20,12/6/14 12:24,53,40,1,55,29,1575,43,34,7630,10,171.1886792,113.490566,11.81132075,1.452830189,1.58490566,99.35,133.275,12.225,1.5,0.85,0.85,1.7
98,apache/incubator-retired-wave,2,12/4/10,1/15/18,1/12/14 18:10,25,13,0,105,55,406,185,79,200606,12,4057.458333,6334.625,441.2083333,12.45833333,5.958333333,810.3846154,6038.384615,268.7692308,3.923076923,4.153846154,4.153846154,8.307692308
99,apache/incubator-weex,2,11/30/16,5/12/21,1/31/17 4:35,2382,1712,44,4907,522,12026,14002,1857,282740,196,1681.341053,1291.498526,21.43157895,11.50778947,1.316210526,611.4727592,467.8471002,9.663151728,3.804920914,0.972466315,0.972466315,1.94493263
