,Unnamed: 0,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
45,49,apache/Lens,1,10/10/14,8/19/15,23,5,11/17/14 11:11,0,2,8,43,2449,57,98,18225,38,537.6666667,180.1111111,18.0,16.88888889,0.333333333,0.888888889,1.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,51,apache/Lucene.NET,1,2/5/11,8/15/12,400,293,9/2/11 11:39,0,21,1319,394,6373,1689,585,173803,44,68713.25,8850.75,1579.75,33.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,52,apache/Lucy,1,7/22/10,2/22/12,54,42,9/21/12 22:17,0,3,17,6,3261,93,27,15711,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,53,apache/MADlib,1,9/15/15,7/19/17,570,158,11/5/15 0:54,0,25,2109,2156,2953,358,130,19998,50,355.3947368,199.2894737,4.763157895,2.690789474,2.644736842,2.901315789,5.546052632,232.0,97.91666667,2.833333333,1.416666667,1.666666667,1.666666667,3.333333333
49,54,apache/Mesos,1,12/23/10,6/19/13,389,44,8/7/13 20:19,0,13,702,422,18143,4805,1706,404191,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,55,apache/MetaModel,1,6/12/13,11/20/14,245,77,9/16/14 20:42,0,14,970,832,893,147,142,7220,34,776.75,120.5,11.25,12.75,3.0,13.75,16.75,162.0,37.0,7.0,8.0,4.0,4.0,8.0
51,56,apache/Metron,1,12/6/15,4/19/17,1558,9,12/9/15 19:24,0,92,8763,5614,1453,832,507,97572,60,1418.063551,819.0672897,30.25420561,8.142056075,5.671028037,3.502803738,9.173831776,7557.833333,1098.833333,155.8333333,2.666666667,10.33333333,10.33333333,20.66666667
52,57,apache/Mnemonic,1,3/3/16,11/15/17,233,208,3/30/16 5:36,0,11,80,59,611,101,59,2991,19,329.7012987,105.6753247,8.194805195,1.519480519,0.233766234,0.337662338,0.571428571,312.8387097,122.9193548,7.612903226,1.032258065,0.177419355,0.177419355,0.35483871
53,58,apache/mynewt-core,1,10/20/15,6/21/17,2507,2243,2/17/16 0:44,0,119,3138,2939,10279,679,325,176268,110,4964.567251,746.502924,26.84795322,7.350877193,1.111111111,0.687134503,1.798245614,4372.016461,190.1069959,14.16460905,4.790123457,0.810699588,0.810699588,1.621399177
54,59,apache/NetBeans,1,10/1/16,4/17/19,3214,2712,9/16/17 17:26,0,104,9348,5294,6126,1717,647,345316,170,24970.88741,1092.404504,266.9758132,4.30942452,3.099249374,1.410341952,4.509591326,4732.054471,1099.311408,165.5436793,2.43987667,2.734840699,2.734840699,5.469681398
55,60,apache/NiFi,1,11/24/14,7/15/15,5419,353,12/20/14 3:49,0,677,16135,18131,6860,2865,2140,190504,318,779.2428571,1148.714286,21.35714286,6.771428571,2.4,1.742857143,4.142857143,341.4390244,267.3414634,9.073170732,3.926829268,1.780487805,1.780487805,3.56097561
56,61,apache/olingo-odata4,1,7/8/13,3/19/14,40,21,8/8/14 23:58,0,4,59,15,1895,116,155,53661,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,62,apache/phoenix-omid,1,3/28/16,11/15/19,82,11,6/3/16 20:57,0,2,53,155,1315,69,43,4810,17,542.2222222,172.0888889,15.24444444,4.422222222,0.111111111,2.088888889,2.2,1250.5,322.75,26.5,8.625,0.0,0.0,0.0
58,63,apache/climate,1,2/15/13,2/19/14,527,451,3/8/14 21:01,0,41,1925,101,2241,134,112,35741,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,64,apache/OpenWhisk,1,11/23/16,7/17/19,3195,2082,2/19/16 19:19,0,100,17539,11526,2928,5458,1051,68282,188,133.5326252,93.75366717,6.009104704,2.862923622,3.615073343,3.805766313,7.420839656,130.4127747,99.69986264,5.864010989,2.634615385,3.451236264,3.451236264,6.902472527
60,65,apache/parquet-cpp,1,5/20/14,4/22/15,496,0,10/28/14 19:15,0,41,1812,2481,502,360,184,2700,28,557.0,388.4285714,8.285714286,2.0,2.0,1.285714286,3.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,66,apache/Phoenix,1,12/11/13,5/21/14,1083,303,7/4/14 10:53,0,181,3374,8233,3573,904,922,72459,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,67,apache/Pinot,1,10/17/18,7/21/21,6488,5927,11/10/14 22:32,0,191,11092,28950,8339,3651,784,229062,187,567.0687458,361.2152918,15.45171026,2.629107981,1.472166331,5.550301811,7.022468142,468.1640798,360.0055432,13.8263119,2.440872136,1.377679231,1.377679231,2.755358463
63,68,apache/PLC4X,1,12/18/17,4/17/19,269,211,1/8/18 16:52,0,17,401,558,4412,420,176,134791,47,720.6315789,263.8070175,21.05263158,6.140350877,1.666666667,2.754385965,4.421052632,427.5897436,106.4871795,13.8974359,3.615384615,1.615384615,1.615384615,3.230769231
64,69,apache/PredictionIO,1,5/26/16,10/18/17,407,192,10/24/13 11:09,0,24,905,370,4495,12519,2021,36295,133,333.5986842,742.2828947,23.25,4.0,2.697368421,0.907894737,3.605263158,408.5384615,159.8461538,53.23076923,5.538461538,2.923076923,2.923076923,5.846153846
