,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
72,apache/Ratis,1,1/3/17,2/17/21,502,396,5/23/18 6:29,0,0,1190,1278,1202,593,214,7243,53,110.00987654320987,55.8716049382716,7.246913580246914,2.669135802469136,2.2493827160493827,2.68641975308642,4.935802469135803,101.03960396039604,46.78547854785479,7.491749174917492,2.6303630363036303,2.1386138613861387,2.1386138613861387,4.2772277227722775
73,apache/REEF,1,8/12/14,11/18/15,1496,38,10/23/14 16:36,0,0,9098,12700,3875,95,104,40208,67,428.75963020030815,115.89676425269646,23.454545454545453,2.177195685670262,7.312788906009245,6.174114021571649,13.486902927580893,79.2,64.4,12.0,1.0,8.6,8.6,17.2
74,apache/RocketMQ,1,11/21/16,9/20/17,1542,696,12/21/16 10:23,0,0,8527,1808,1844,15836,8794,10864,287,461.97005988023955,58.73053892215569,12.263473053892216,4.544910179640719,9.407185628742514,2.7365269461077846,12.143712574850298,220.0,67.0,13.25,14.5,14.625,14.625,29.25
75,apache/Rya,1,9/18/15,9/18/19,307,36,11/22/15 21:20,0,0,1238,2177,460,101,78,8748,26,2381.1461794019933,3246.9368770764117,46.25581395348837,2.870431893687708,3.8970099667774085,7.106312292358804,11.003322259136212,2261.794117647059,2633.735294117647,60.11764705882353,1.8823529411764706,1.3529411764705883,1.3529411764705883,2.7058823529411766
76,apache/Samza,1,7/30/13,1/21/15,1506,499,4/15/15 8:41,0,0,1851,15928,2410,705,294,33226,124,0,0,0,0,0,0,11.003322259136212,0,0,0,0,0,0,0
78,apache/ShardingSphere,1,11/10/18,4/16/20,7786,7061,1/31/16 13:13,0,0,25329,5619,30672,14814,5129,434276,315,1508.6501319261213,770.1393139841689,36.38627968337731,27.75461741424802,1.2786279683377308,0.9145118733509234,2.1931398416886543,966.6642642642643,684.7519519519519,32.1015015015015,19.991591591591593,1.172972972972973,1.172972972972973,2.345945945945946
79,apache/SINGA,1,3/17/15,10/16/19,811,623,5/16/15 16:19,0,0,1647,1276,2360,2380,703,19708,56,1093.571157495256,1104.977229601518,18.08728652751423,6.0493358633776095,0.571157495256167,1.7381404174573054,2.3092979127134723,474.60358056265983,349.4092071611253,8.667519181585678,2.547314578005115,0.5575447570332481,0.5575447570332481,1.1150895140664963
80,apache/SkyWalking,1,12/8/17,4/17/19,3845,3328,3/28/16 12:26,0,0,26413,10065,6825,18092,5339,161191,378,592.6080305927343,482.95793499043975,23.173040152963672,5.2848948374761,2.5793499043977057,0.7734225621414914,3.3527724665391974,314.40557939914163,334.8551502145923,18.05579399141631,4.414163090128755,2.3648068669527897,2.3648068669527897,4.7296137339055795
82,apache/Sqoop,1,6/13/11,3/21/12,64,15,6/15/12 0:33,0,0,115,104,969,863,532,18789,23,0,0,0,0,0,0,3.3527724665391974,0,0,0,0,0,0,0
83,apache/Storm,1,9/18/13,9/17/14,3375,2607,12/11/13 18:27,0,0,14429,12199,10461,6294,4076,205453,281,1375.5390625,121.66796875,13.33984375,25.9609375,5.36328125,1.71484375,7.078125,1507.7577319587629,70.57731958762886,13.876288659793815,32.58247422680412,5.974226804123711,5.974226804123711,11.948453608247423
84,apache/Stratos,1,6/20/13,5/21/14,498,200,6/22/14 10:01,0,0,348,440,8951,152,111,67395,49,0,0,0,0,0,0,7.078125,0,0,0,0,0,0,0
85,apache/Streams,1,11/20/12,7/19/17,514,410,4/22/14 17:49,0,0,673,592,1781,69,42,147991,17,1113.8005390835579,465.4959568733154,22.118598382749326,7.708894878706199,1.5849056603773586,1.5390835579514826,3.123989218328841,431.46931407942236,379.98194945848377,14.84115523465704,3.0288808664259927,1.6498194945848375,1.6498194945848375,3.299638989169675
86,apache/Superset,1,5/21/17,11/19/20,9395,7773,7/23/15 6:12,0,0,40000,20503,8586,40000,8100,282442,440,3614.4473321519986,758.6495373104942,20.60563102973026,6.835991336877338,2.670998227997637,2.2512305571962985,4.922228785193935,821.5877600979193,725.7542227662178,6.421787025703795,3.222276621787026,2.553733170134639,2.553733170134639,5.107466340269278
87,apache/SystemML,1,11/2/15,5/18/17,1428,108,11/20/15 21:50,0,0,5440,2794,7578,881,405,328115,123,741.50796812749,492.3784860557769,19.58565737051793,3.0119521912350598,5.340637450199203,1.0219123505976095,6.362549800796813,286.75,302.0,14.0,1.0,1.25,1.25,2.5
88,apache/phoenix-tephra,1,3/7/16,11/15/19,90,1,9/2/16 22:47,0,0,191,429,419,28,50,5392,22,880.5333333333333,100.68,12.04,1.1866666666666668,2.3866666666666667,5.533333333333333,7.92,21.0,21.0,21.0,2.0,0.0,0.0,0.0
89,apache/Tez,1,2/24/13,7/16/14,112,47,8/7/14 18:43,0,0,376,167,2853,343,326,28735,39,0,0,0,0,0,0,7.92,0,0,0,0,0,0,0
90,apache/TinkerPop,1,1/16/15,5/23/16,1475,1133,2/8/15 1:24,0,0,5761,1798,17709,1427,681,173609,143,385.75632911392404,162.2246835443038,26.382911392405063,4.5474683544303796,3.598101265822785,0.2721518987341772,3.8702531645569622,352.58898305084745,111.7457627118644,17.466101694915253,4.127118644067797,3.4237288135593222,3.4237288135593222,6.8474576271186445
91,apache/trafficcontrol,1,7/12/16,5/16/18,4133,3093,10/17/16 16:56,0,0,14082,14147,11685,671,282,107999,109,1400.0794060684314,310.77792123950934,18.118786313750807,5.331181407359587,2.472562943834732,1.0180761781794707,3.490639122014203,621.9508426966293,262.28370786516854,11.762640449438202,3.0842696629213484,3.3707865168539324,3.3707865168539324,6.741573033707865
92,apache/Trafodion,1,5/24/15,12/20/17,1850,1654,6/20/15 3:00,0,0,12186,4481,7254,243,159,88977,69,969.1554404145078,709.3871206513694,21.31976313841599,2.9652109548482604,6.741672834937083,2.518134715025907,9.25980754996299,909.2043551088777,471.21021775544386,22.014237855946398,2.6398659966499163,6.486599664991624,6.486599664991624,12.973199329983249
93,apache/TVM,1,3/6/19,11/18/20,7309,6557,12/11/16 19:05,0,0,30250,32964,7006,7333,2257,51155,398,658.2704004817826,249.1496537187594,13.253236976814213,6.310147545919904,3.197530864197531,4.329719963866306,7.527250828063837,240.68745762711865,131.57593220338984,9.5,3.9494915254237286,3.1071186440677967,3.1071186440677967,6.214237288135593
94,apache/Twill,1,11/14/13,6/15/16,78,0,8/12/16 12:53,0,0,165,498,294,65,70,13155,26,0,0,0,0,0,0,7.527250828063837,0,0,0,0,0,0,0
95,apache/Unomi,1,10/5/15,2/20/19,357,299,4/25/16 7:31,0,0,362,421,2388,178,91,14941,39,443.2162162162162,71.41891891891892,7.972972972972973,3.175675675675676,0.6486486486486487,0.5675675675675675,1.2162162162162162,504.0952380952381,70.47619047619048,8.523809523809524,3.2222222222222223,0.49206349206349204,0.49206349206349204,0.9841269841269841
