,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
92,apache/Trafodion,1,5/24/15,12/20/17,1850,1654,6/20/15 3:00,0,0,12186,4481,7254,243,159,88977,69
93,apache/TVM,1,3/6/19,11/18/20,7309,6557,12/11/16 19:05,0,0,30250,32964,7006,7333,2257,51155,398
94,apache/Twill,1,11/14/13,6/15/16,78,0,8/12/16 12:53,0,0,165,498,294,65,70,13155,26
95,apache/Unomi,1,10/5/15,2/20/19,357,299,4/25/16 7:31,0,0,362,421,2388,178,91,14941,39
96,apache/Usergrid,1,10/3/13,8/19/15,599,465,11/25/13 17:57,0,0,396,280,10954,997,438,383452,78
97,apache/Whirr,1,5/11/10,8/17/11,3,0,12/18/11 18:26,0,0,7,0,569,95,60,9902,10
98,apache/Zeppelin,1,12/23/14,5/18/16,4177,26,3/25/15 9:03,0,0,22005,7649,5011,5474,2560,98711,322
99,apache/incubator-retired-amaterasu,2,9/7/17,9/18/19,58,47,10/30/17 6:10,0,0,24,62,811,56,25,4663,16
100,apache/incubator-ariatosca,2,8/27/16,7/1/18,229,170,10/18/16 8:32,0,0,210,1468,190,28,46,1745,12
101,apache/incubator-retired-blur,2,7/24/12,6/22/17,5,0,6/22/14 11:02,0,0,6,4,5242,32,32,53376,15
102,apache/incubator-retired-concerted,2,10/14/15,4/25/16,3,0,10/25/15 12:46,0,0,4,0,41,9,5,132,3
103,apache/incubator-retired-edgent,2,2/29/16,11/20/19,346,324,3/10/16 19:58,0,0,318,242,1398,203,140,25183,18
104,apache/incubator-retired-gearpump,2,3/8/16,9/19/18,243,3,4/15/16 10:22,0,0,731,411,2251,300,95,22289,26
105,apache/incubator-retired-gossip,2,4/28/16,8/21/18,68,48,5/29/16 5:05,0,0,74,162,194,234,111,1420,11
106,apache/incubator-retired-horn,2,9/4/15,7/13/17,31,23,9/24/15 23:13,0,0,13,2,40,28,16,241,3
107,apache/incubator-retired-htrace,2,11/11/14,4/11/18,8,2,9/9/15 0:30,0,0,11,10,605,101,65,2769,17
108,apache/incubator-retired-iota,2,1/20/16,2/15/18,33,27,5/11/16 1:58,0,0,57,3,190,31,31,3449,7
109,apache/incubator-retired-mrql,2,3/13/13,8/17/17,33,31,4/21/15 17:55,0,0,9,0,169,16,15,1282,5
110,apache/incubator-myriad,2,3/1/15,1/24/20,131,29,9/27/15 3:58,0,0,309,263,439,153,73,10766,29
111,apache/incubator-retired-openaz,2,1/20/15,8/26/16,4,0,12/3/15 9:07,0,0,12,15,66,15,24,15887,4
112,apache/incubator-retired-pirk,2,6/17/16,4/17/17,116,2,7/14/16 4:50,0,0,271,219,183,57,24,439565,8
113,apache/incubator-retired-quickstep,2,3/29/16,12/1/18,358,302,4/18/16 5:03,0,0,797,1074,970,85,57,12007,21
114,apache/incubator-retired-ripple,2,10/16/12,12/6/15,72,34,5/14/13 23:30,0,0,157,36,1144,170,60,9435,36
115,apache/incubator-s2graph,2,11/29/15,11/29/20,183,86,1/12/16 7:22,0,0,269,58,1681,260,65,14439,15
116,apache/incubator-retired-s4,2,9/26/11,6/19/14,2,0,3/13/12 17:27,0,0,0,0,237,39,18,26686,5
117,apache/incubator-samoa,2,12/15/14,3/11/21,71,19,1/27/15 12:42,0,0,268,117,118,238,108,6135,18
118,apache/Sirona,2,10/15/13,7/3/17,2,0,11/1/13 14:46,0,0,2,0,893,107,55,6825,9
119,apache/incubator-retired-slider,2,4/29/14,5/24/18,2,0,11/10/14 21:28,0,0,0,1,1974,78,75,16472,8
120,apache/incubator-retired-tamaya,2,11/14/14,4/30/20,53,40,12/6/14 12:24,0,0,55,29,1575,43,34,7630,10
121,apache/incubator-retired-wave,2,12/4/10,1/15/18,25,13,1/12/14 18:10,0,0,105,55,406,185,79,200606,12
122,apache/incubator-weex,2,11/30/16,5/12/21,2382,1712,1/31/17 4:35,0,0,4907,522,12026,14002,1857,282740,196
123,apache/Zipkin,2,8/29/18,6/19/19,2097,1644,6/6/12 18:53,0,0,11502,3954,2635,14862,2827,65038,91
