,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
188,apache/trafficserver,1,7/13/2009,4/21/2010,0,0,,0,0,0,0,0,0,0,0,0
189,apache/Trafodion,1,5/24/2015,12/20/2017,0,0,,0,0,0,0,0,0,0,0,0
190,apache/TVM,1,3/6/2019,11/18/2020,0,0,,0,0,0,0,0,0,0,0,0
191,apache/Twill,1,11/14/2013,6/15/2016,0,0,,0,0,0,0,0,0,0,0,0
192,apache/uima-uimafit,1,10/23/2006,3/18/2010,0,0,,0,0,0,0,0,0,0,0,0
193,apache/Unomi,1,10/5/2015,2/20/2019,0,0,,0,0,0,0,0,0,0,0,0
194,apache/Usergrid,1,10/3/2013,8/19/2015,0,0,,0,0,0,0,0,0,0,0,0
195,apache/VCL,1,10/6/2008,6/20/2012,0,0,,0,0,0,0,0,0,0,0,0
196,apache/VXQuery,1,7/6/2009,7/16/2014,0,0,,0,0,0,0,0,0,0,0,0
197,apache/Whirr,1,5/11/2010,8/17/2011,0,0,,0,0,0,0,0,0,0,0,0
198,apache/Wicket,1,8/28/2006,6/20/2007,0,0,,0,0,0,0,0,0,0,0,0
199,apache/Wink,1,5/27/2009,12/19/2012,0,0,,0,0,0,0,0,0,0,0,0
200,apache/Wookie,1,7/17/2009,11/22/2012,0,0,,0,0,0,0,0,0,0,0,0
201,apache/XMLBeans,1,7/30/2003,6/23/2004,0,0,,0,0,0,0,0,0,0,0,0
202,apache/Zeppelin,1,12/23/2014,5/18/2016,0,0,,0,0,0,0,0,0,0,0,0
203,apache/incubator-retired-amaterasu,2,9/7/2017,9/18/2019,0,0,,0,0,0,0,0,0,0,0,0
204,apache/incubator-ariatosca,2,8/27/2016,7/1/2018,0,0,,0,0,0,0,0,0,0,0,0
205,apache/incubator-retired-blur,2,7/24/2012,6/22/2017,0,0,,0,0,0,0,0,0,0,0,0
206,apache/incubator-retired-cmda,2,5/8/2015,2/5/2017,0,0,,0,0,0,0,0,0,0,0,0
207,apache/incubator-retired-concerted,2,10/14/2015,4/25/2016,0,0,,0,0,0,0,0,0,0,0,0
208,apache/incubator-retired-corinthia,2,12/8/2014,11/19/2015,0,0,,0,0,0,0,0,0,0,0,0
209,apache/incubator-retired-cotton,2,6/1/2015,12/1/2015,0,0,,0,0,0,0,0,0,0,0,0
210,apache/incubator-retired-edgent,2,2/29/2016,11/20/2019,0,0,,0,0,0,0,0,0,0,0,0
211,apache/incubator-retired-gearpump,2,3/8/2016,9/19/2018,0,0,,0,0,0,0,0,0,0,0,0
212,apache/incubator-retired-gossip,2,4/28/2016,8/21/2018,0,0,,0,0,0,0,0,0,0,0,0
213,apache/incubator-retired-hdt,2,11/9/2012,12/2/2014,0,0,,0,0,0,0,0,0,0,0,0
214,apache/incubator-retired-horn,2,9/4/2015,7/13/2017,0,0,,0,0,0,0,0,0,0,0,0
215,apache/incubator-retired-htrace,2,11/11/2014,4/11/2018,0,0,,0,0,0,0,0,0,0,0,0
216,apache/incubator-retired-iota,2,1/20/2016,2/15/2018,0,0,,0,0,0,0,0,0,0,0,0
217,apache/Kalumet,2,9/20/2011,11/1/2015,0,0,,0,0,0,0,0,0,0,0,0
218,apache/incubator-retired-mrql,2,3/13/2013,8/17/2017,0,0,,0,0,0,0,0,0,0,0,0
219,apache/incubator-myriad,2,3/1/2015,1/24/2020,0,0,,0,0,0,0,0,0,0,0,0
