,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
161,apache/SINGA,1,3/17/2015,10/16/2019,811,0,2015-05-16 16:19:28,0,0,1647,1276,2360,2380,703,19708,56
163,apache/SkyWalking,1,12/8/2017,4/17/2019,3845,0,2016-03-28 12:26:24,0,0,26413,10065,6825,18092,5339,161191,378
167,apache/Spark,1,6/19/2013,2/19/2014,34300,0,2014-02-25 23:57:18,0,0,0,0,0,0,0,396766,327
168,apache/Sqoop,1,6/13/2011,3/21/2012,64,0,2012-06-15 00:33:26,0,0,115,104,969,863,532,18789,23
171,apache/Storm,1,9/18/2013,9/17/2014,3375,0,2013-12-11 18:27:00,0,0,14429,12199,10461,6294,4076,205453,281
172,apache/Stratos,1,6/20/2013,5/21/2014,498,0,2014-06-22 10:01:36,0,0,348,440,8951,152,111,67395,49
173,apache/Streams,1,11/20/2012,7/19/2017,514,0,2014-04-22 17:49:34,0,0,673,592,1781,69,42,147991,17
175,apache/Superset,1,5/21/2017,11/19/2020,9395,0,2015-07-23 06:12:26,0,0,40000,20503,8586,40000,8100,282442,440
178,apache/SystemML,1,11/2/2015,5/18/2017,1428,0,2015-11-20 21:50:07,0,0,5440,2794,7578,881,405,328115,123
181,apache/phoenix-tephra,1,3/7/2016,11/15/2019,90,0,2016-09-02 22:47:32,0,0,191,429,419,28,50,5392,22
182,apache/Tez,1,2/24/2013,7/16/2014,112,0,2014-08-07 18:43:53,0,0,376,167,2853,343,326,28735,39
185,apache/TinkerPop,1,1/16/2015,5/23/2016,1475,0,2015-02-08 01:24:18,0,0,5761,1798,17709,1427,681,173609,143
187,apache/trafficcontrol,1,7/12/2016,5/16/2018,4133,0,2016-10-17 16:56:28,0,0,14082,14147,11685,671,282,107999,109
189,apache/Trafodion,1,5/24/2015,12/20/2017,1850,0,2015-06-20 03:00:43,0,0,12186,4481,7254,243,159,88977,69
190,apache/TVM,1,3/6/2019,11/18/2020,7309,0,2016-12-11 19:05:10,0,0,30250,32964,7006,7333,2257,51155,398
191,apache/Twill,1,11/14/2013,6/15/2016,78,0,2016-08-12 12:53:45,0,0,165,498,294,65,70,13155,26
